id_employee,date,points
19175,2026-01-09,15.0
19175,2026-01-10,15.0
19175,2026-01-13,15.0
19175,2026-01-14,15.0
19175,2026-01-17,20.0
19175,2026-01-18,20.0
19175,2026-01-21,20.0
19175,2026-01-22,20.0
19175,2026-01-25,20.0
19175,2026-01-26,20.0
19175,2026-01-29,15.0
19175,2026-01-30,20.0
19399,2026-01-11,15.0
19399,2026-01-12,15.0
19399,2026-01-15,15.0
19399,2026-01-16,15.0
19399,2026-01-19,15.0
19399,2026-01-20,15.0
19399,2026-01-23,15.0
19399,2026-01-24,15.0
19399,2026-01-27,15.0
19399,2026-01-28,15.0
19399,2026-01-31,15.0
19559,2026-01-09,15.0
19559,2026-01-10,15.0
19559,2026-01-13,15.0
19559,2026-01-14,13.5
19559,2026-01-17,15.0
19559,2026-01-18,15.0
19559,2026-01-21,15.0
19559,2026-01-22,15.0
19559,2026-01-25,15.0
19559,2026-01-26,15.0
19559,2026-01-29,15.0
19559,2026-01-30,15.0
19663,2026-01-12,30.0
19663,2026-01-13,30.0
19663,2026-01-14,30.0
19663,2026-01-15,58.03343166175026
19663,2026-01-16,10.0
19663,2026-01-19,31.72967379293285
19663,2026-01-20,30.0
19663,2026-01-21,30.0
19663,2026-01-22,30.0
19663,2026-01-23,10.0
19663,2026-01-26,30.20246808596795
19663,2026-01-27,30.0
19663,2026-01-28,30.0
19663,2026-01-29,15.11226382176637
19663,2026-01-30,27.0
19738,2026-01-12,37.40455205695079
19738,2026-01-13,34.049269584107606
19738,2026-01-14,16.026747195858498
19738,2026-01-15,30.0
19738,2026-01-16,30.12801513034396
19738,2026-01-19,30.0
19738,2026-01-20,30.0
19738,2026-01-21,30.0
19738,2026-01-22,28.5
19738,2026-01-27,30.0
19738,2026-01-28,20.948485568491677
19738,2026-01-29,30.0
19738,2026-01-30,15.0
19746,2026-01-12,15.0
19746,2026-01-13,15.0
19746,2026-01-14,15.0
19746,2026-01-15,10.0
19746,2026-01-16,15.0
19746,2026-01-19,10.0
19746,2026-01-20,15.0
19746,2026-01-21,10.0
19746,2026-01-22,15.0
19746,2026-01-23,15.0
19746,2026-01-26,15.0
19746,2026-01-27,15.0
19746,2026-01-28,27.0
19746,2026-01-29,27.0
19746,2026-01-30,27.0
19825,2026-01-11,15.0
19825,2026-01-12,5.0
19825,2026-01-15,15.0
19825,2026-01-16,20.0
19825,2026-01-19,15.0
19825,2026-01-20,15.0
19825,2026-01-23,20.0
19825,2026-01-24,20.0
19825,2026-01-27,20.0
19825,2026-01-28,15.306122448979593
19825,2026-01-31,15.0
19893,2026-01-11,12.716660730057269
19893,2026-01-12,15.0
19893,2026-01-15,20.0
19893,2026-01-16,20.0
19893,2026-01-19,15.0
19893,2026-01-20,20.0
19893,2026-01-23,20.0
19893,2026-01-24,20.0
19893,2026-01-27,20.0
19893,2026-01-28,20.0
19893,2026-01-31,20.0
19910,2026-01-11,15.0
19910,2026-01-12,15.0
19910,2026-01-15,20.0
19910,2026-01-16,20.0
19910,2026-01-19,20.0
19910,2026-01-20,20.0
19910,2026-01-23,20.0
19910,2026-01-24,20.0
19910,2026-01-27,20.0
19910,2026-01-28,20.0
19910,2026-01-31,15.0
19912,2026-01-11,27.0
19912,2026-01-12,27.0
19912,2026-01-15,27.0
19912,2026-01-16,27.0
19912,2026-01-19,21.333333333333332
19912,2026-01-20,27.0
19912,2026-01-23,27.0
19912,2026-01-24,27.0
19912,2026-01-27,27.0
19912,2026-01-28,27.0
19912,2026-01-31,27.0
19931,2026-01-19,15.0
19931,2026-01-20,27.0
19931,2026-01-23,15.0
19931,2026-01-24,20.0
19931,2026-01-27,15.0
19931,2026-01-28,20.0
19931,2026-01-31,20.0
19934,2026-01-11,27.0
19934,2026-01-12,23.0
19934,2026-01-15,27.0
19934,2026-01-16,27.0
19934,2026-01-19,27.0
19934,2026-01-20,27.0
19934,2026-01-23,27.0
19934,2026-01-24,24.666666666666664
19934,2026-01-27,27.0
